"Date","Year","Month","variable","value","scenario","method"
2024-01-01,2024,1,"tavg",23.6922201169376,"SSP1-2.6 (Sustainability)","Statistical"
2024-02-01,2024,2,"tavg",23.1886324132131,"SSP1-2.6 (Sustainability)","Statistical"
2024-03-01,2024,3,"tavg",25.7739861190177,"SSP1-2.6 (Sustainability)","Statistical"
2024-04-01,2024,4,"tavg",27.2122473627799,"SSP1-2.6 (Sustainability)","Statistical"
2024-05-01,2024,5,"tavg",28.5946277689305,"SSP1-2.6 (Sustainability)","Statistical"
2024-06-01,2024,6,"tavg",29.1675677260201,"SSP1-2.6 (Sustainability)","Statistical"
2024-07-01,2024,7,"tavg",28.2927890195279,"SSP1-2.6 (Sustainability)","Statistical"
2024-08-01,2024,8,"tavg",27.8507123799754,"SSP1-2.6 (Sustainability)","Statistical"
2024-09-01,2024,9,"tavg",24.9279871194986,"SSP1-2.6 (Sustainability)","Statistical"
2024-10-01,2024,10,"tavg",24.2702109704321,"SSP1-2.6 (Sustainability)","Statistical"
2024-11-01,2024,11,"tavg",22.8171825092255,"SSP1-2.6 (Sustainability)","Statistical"
2024-12-01,2024,12,"tavg",21.7579953490827,"SSP1-2.6 (Sustainability)","Statistical"
2025-01-01,2025,1,"tavg",23.5414327729029,"SSP1-2.6 (Sustainability)","Statistical"
2025-02-01,2025,2,"tavg",24.463425254876,"SSP1-2.6 (Sustainability)","Statistical"
2025-03-01,2025,3,"tavg",25.7656914739813,"SSP1-2.6 (Sustainability)","Statistical"
2025-04-01,2025,4,"tavg",26.671043434688,"SSP1-2.6 (Sustainability)","Statistical"
2025-05-01,2025,5,"tavg",29.251716163168,"SSP1-2.6 (Sustainability)","Statistical"
2025-06-01,2025,6,"tavg",29.3674218986316,"SSP1-2.6 (Sustainability)","Statistical"
2025-07-01,2025,7,"tavg",29.0048691635584,"SSP1-2.6 (Sustainability)","Statistical"
2025-08-01,2025,8,"tavg",26.9251921915347,"SSP1-2.6 (Sustainability)","Statistical"
2025-09-01,2025,9,"tavg",25.8853771097651,"SSP1-2.6 (Sustainability)","Statistical"
2025-10-01,2025,10,"tavg",24.543035931201,"SSP1-2.6 (Sustainability)","Statistical"
2025-11-01,2025,11,"tavg",23.868853382236,"SSP1-2.6 (Sustainability)","Statistical"
2025-12-01,2025,12,"tavg",22.3333479552989,"SSP1-2.6 (Sustainability)","Statistical"
2026-01-01,2026,1,"tavg",23.185115619121,"SSP1-2.6 (Sustainability)","Statistical"
2026-02-01,2026,2,"tavg",25.2912513228363,"SSP1-2.6 (Sustainability)","Statistical"
2026-03-01,2026,3,"tavg",25.9487270589692,"SSP1-2.6 (Sustainability)","Statistical"
2026-04-01,2026,4,"tavg",27.1713280243872,"SSP1-2.6 (Sustainability)","Statistical"
2026-05-01,2026,5,"tavg",27.6105482753744,"SSP1-2.6 (Sustainability)","Statistical"
2026-06-01,2026,6,"tavg",29.2138318135428,"SSP1-2.6 (Sustainability)","Statistical"
2026-07-01,2026,7,"tavg",29.1979090299598,"SSP1-2.6 (Sustainability)","Statistical"
2026-08-01,2026,8,"tavg",28.075489143222,"SSP1-2.6 (Sustainability)","Statistical"
2026-09-01,2026,9,"tavg",25.1008280149026,"SSP1-2.6 (Sustainability)","Statistical"
2026-10-01,2026,10,"tavg",25.0581011065671,"SSP1-2.6 (Sustainability)","Statistical"
2026-11-01,2026,11,"tavg",22.6606638511358,"SSP1-2.6 (Sustainability)","Statistical"
2026-12-01,2026,12,"tavg",22.2615848075607,"SSP1-2.6 (Sustainability)","Statistical"
2027-01-01,2027,1,"tavg",23.9324082398588,"SSP1-2.6 (Sustainability)","Statistical"
2027-02-01,2027,2,"tavg",24.5970316743541,"SSP1-2.6 (Sustainability)","Statistical"
2027-03-01,2027,3,"tavg",26.4255230672915,"SSP1-2.6 (Sustainability)","Statistical"
2027-04-01,2027,4,"tavg",26.5441643280121,"SSP1-2.6 (Sustainability)","Statistical"
2027-05-01,2027,5,"tavg",29.1642774720185,"SSP1-2.6 (Sustainability)","Statistical"
2027-06-01,2027,6,"tavg",28.7387203078492,"SSP1-2.6 (Sustainability)","Statistical"
2027-07-01,2027,7,"tavg",28.7735358075815,"SSP1-2.6 (Sustainability)","Statistical"
2027-08-01,2027,8,"tavg",27.0959915027,"SSP1-2.6 (Sustainability)","Statistical"
2027-09-01,2027,9,"tavg",26.2552674916375,"SSP1-2.6 (Sustainability)","Statistical"
2027-10-01,2027,10,"tavg",23.8612101250526,"SSP1-2.6 (Sustainability)","Statistical"
2027-11-01,2027,11,"tavg",22.8026914377683,"SSP1-2.6 (Sustainability)","Statistical"
2027-12-01,2027,12,"tavg",21.8899864416646,"SSP1-2.6 (Sustainability)","Statistical"
2028-01-01,2028,1,"tavg",22.7208556922969,"SSP1-2.6 (Sustainability)","Statistical"
2028-02-01,2028,2,"tavg",24.7139619576091,"SSP1-2.6 (Sustainability)","Statistical"
2028-03-01,2028,3,"tavg",26.4079547401588,"SSP1-2.6 (Sustainability)","Statistical"
2028-04-01,2028,4,"tavg",26.9853366434934,"SSP1-2.6 (Sustainability)","Statistical"
2028-05-01,2028,5,"tavg",27.4706634522552,"SSP1-2.6 (Sustainability)","Statistical"
2028-06-01,2028,6,"tavg",28.9908427477201,"SSP1-2.6 (Sustainability)","Statistical"
2028-07-01,2028,7,"tavg",27.8773283117602,"SSP1-2.6 (Sustainability)","Statistical"
2028-08-01,2028,8,"tavg",26.7490898275056,"SSP1-2.6 (Sustainability)","Statistical"
2028-09-01,2028,9,"tavg",26.7415554112453,"SSP1-2.6 (Sustainability)","Statistical"
2028-10-01,2028,10,"tavg",24.5346628655658,"SSP1-2.6 (Sustainability)","Statistical"
2028-11-01,2028,11,"tavg",23.1333131676572,"SSP1-2.6 (Sustainability)","Statistical"
2028-12-01,2028,12,"tavg",23.1847866225613,"SSP1-2.6 (Sustainability)","Statistical"
2029-01-01,2029,1,"tavg",22.7927620795075,"SSP1-2.6 (Sustainability)","Statistical"
2029-02-01,2029,2,"tavg",24.6383911672326,"SSP1-2.6 (Sustainability)","Statistical"
2029-03-01,2029,3,"tavg",25.8708166724237,"SSP1-2.6 (Sustainability)","Statistical"
2029-04-01,2029,4,"tavg",27.5362273861146,"SSP1-2.6 (Sustainability)","Statistical"
2029-05-01,2029,5,"tavg",28.7171479784213,"SSP1-2.6 (Sustainability)","Statistical"
2029-06-01,2029,6,"tavg",29.1339723614706,"SSP1-2.6 (Sustainability)","Statistical"
2029-07-01,2029,7,"tavg",28.3084243456814,"SSP1-2.6 (Sustainability)","Statistical"
2029-08-01,2029,8,"tavg",27.4742357670104,"SSP1-2.6 (Sustainability)","Statistical"
2029-09-01,2029,9,"tavg",25.7367405392272,"SSP1-2.6 (Sustainability)","Statistical"
2029-10-01,2029,10,"tavg",24.427031418913,"SSP1-2.6 (Sustainability)","Statistical"
2029-11-01,2029,11,"tavg",22.2676196433682,"SSP1-2.6 (Sustainability)","Statistical"
2029-12-01,2029,12,"tavg",22.7035871690843,"SSP1-2.6 (Sustainability)","Statistical"
2030-01-01,2030,1,"tavg",24.2662145203923,"SSP1-2.6 (Sustainability)","Statistical"
2030-02-01,2030,2,"tavg",24.392155521694,"SSP1-2.6 (Sustainability)","Statistical"
2030-03-01,2030,3,"tavg",26.1055564732679,"SSP1-2.6 (Sustainability)","Statistical"
2030-04-01,2030,4,"tavg",26.4950656218895,"SSP1-2.6 (Sustainability)","Statistical"
2030-05-01,2030,5,"tavg",28.6034949325791,"SSP1-2.6 (Sustainability)","Statistical"
2030-06-01,2030,6,"tavg",29.1998152224144,"SSP1-2.6 (Sustainability)","Statistical"
2030-07-01,2030,7,"tavg",28.0910848179004,"SSP1-2.6 (Sustainability)","Statistical"
2030-08-01,2030,8,"tavg",27.9882614867623,"SSP1-2.6 (Sustainability)","Statistical"
2030-09-01,2030,9,"tavg",26.1119704482247,"SSP1-2.6 (Sustainability)","Statistical"
2030-10-01,2030,10,"tavg",24.3502192203997,"SSP1-2.6 (Sustainability)","Statistical"
2030-11-01,2030,11,"tavg",22.9069136897637,"SSP1-2.6 (Sustainability)","Statistical"
2030-12-01,2030,12,"tavg",22.9415038875395,"SSP1-2.6 (Sustainability)","Statistical"
2031-01-01,2031,1,"tavg",22.8243026365386,"SSP1-2.6 (Sustainability)","Statistical"
2031-02-01,2031,2,"tavg",25.0667540191678,"SSP1-2.6 (Sustainability)","Statistical"
2031-03-01,2031,3,"tavg",26.3863202633169,"SSP1-2.6 (Sustainability)","Statistical"
2031-04-01,2031,4,"tavg",27.9568270984658,"SSP1-2.6 (Sustainability)","Statistical"
2031-05-01,2031,5,"tavg",28.123836429375,"SSP1-2.6 (Sustainability)","Statistical"
2031-06-01,2031,6,"tavg",28.875137103491,"SSP1-2.6 (Sustainability)","Statistical"
2031-07-01,2031,7,"tavg",28.6662665714696,"SSP1-2.6 (Sustainability)","Statistical"
2031-08-01,2031,8,"tavg",27.0794585426641,"SSP1-2.6 (Sustainability)","Statistical"
2031-09-01,2031,9,"tavg",26.5223984515611,"SSP1-2.6 (Sustainability)","Statistical"
2031-10-01,2031,10,"tavg",24.2358839669465,"SSP1-2.6 (Sustainability)","Statistical"
2031-11-01,2031,11,"tavg",22.2990289558032,"SSP1-2.6 (Sustainability)","Statistical"
2031-12-01,2031,12,"tavg",22.6766839360596,"SSP1-2.6 (Sustainability)","Statistical"
2032-01-01,2032,1,"tavg",24.0213373586679,"SSP1-2.6 (Sustainability)","Statistical"
2032-02-01,2032,2,"tavg",25.033039921404,"SSP1-2.6 (Sustainability)","Statistical"
2032-03-01,2032,3,"tavg",26.1327493215656,"SSP1-2.6 (Sustainability)","Statistical"
2032-04-01,2032,4,"tavg",26.9363473730567,"SSP1-2.6 (Sustainability)","Statistical"
2032-05-01,2032,5,"tavg",28.3170723182661,"SSP1-2.6 (Sustainability)","Statistical"
2032-06-01,2032,6,"tavg",28.9935009500472,"SSP1-2.6 (Sustainability)","Statistical"
2032-07-01,2032,7,"tavg",28.1437418364285,"SSP1-2.6 (Sustainability)","Statistical"
2032-08-01,2032,8,"tavg",27.0659693394079,"SSP1-2.6 (Sustainability)","Statistical"
2032-09-01,2032,9,"tavg",25.9632826147909,"SSP1-2.6 (Sustainability)","Statistical"
2032-10-01,2032,10,"tavg",24.5346268203309,"SSP1-2.6 (Sustainability)","Statistical"
2032-11-01,2032,11,"tavg",24.0978011624559,"SSP1-2.6 (Sustainability)","Statistical"
2032-12-01,2032,12,"tavg",22.9300973069598,"SSP1-2.6 (Sustainability)","Statistical"
2033-01-01,2033,1,"tavg",23.8880937441957,"SSP1-2.6 (Sustainability)","Statistical"
2033-02-01,2033,2,"tavg",24.6565654849358,"SSP1-2.6 (Sustainability)","Statistical"
2033-03-01,2033,3,"tavg",26.3973650019046,"SSP1-2.6 (Sustainability)","Statistical"
2033-04-01,2033,4,"tavg",27.6924102150678,"SSP1-2.6 (Sustainability)","Statistical"
2033-05-01,2033,5,"tavg",28.6642038190774,"SSP1-2.6 (Sustainability)","Statistical"
2033-06-01,2033,6,"tavg",29.2546749359011,"SSP1-2.6 (Sustainability)","Statistical"
2033-07-01,2033,7,"tavg",28.1766696600578,"SSP1-2.6 (Sustainability)","Statistical"
2033-08-01,2033,8,"tavg",27.0036251321084,"SSP1-2.6 (Sustainability)","Statistical"
2033-09-01,2033,9,"tavg",25.594119664611,"SSP1-2.6 (Sustainability)","Statistical"
2033-10-01,2033,10,"tavg",24.9202024419897,"SSP1-2.6 (Sustainability)","Statistical"
2033-11-01,2033,11,"tavg",24.3738048642397,"SSP1-2.6 (Sustainability)","Statistical"
2033-12-01,2033,12,"tavg",23.6197548364255,"SSP1-2.6 (Sustainability)","Statistical"
2034-01-01,2034,1,"tavg",24.1445097933331,"SSP1-2.6 (Sustainability)","Statistical"
2034-02-01,2034,2,"tavg",24.8598065928255,"SSP1-2.6 (Sustainability)","Statistical"
2034-03-01,2034,3,"tavg",25.3341451613589,"SSP1-2.6 (Sustainability)","Statistical"
2034-04-01,2034,4,"tavg",26.939589861222,"SSP1-2.6 (Sustainability)","Statistical"
2034-05-01,2034,5,"tavg",28.0059112849111,"SSP1-2.6 (Sustainability)","Statistical"
2034-06-01,2034,6,"tavg",28.3747363964124,"SSP1-2.6 (Sustainability)","Statistical"
2034-07-01,2034,7,"tavg",28.6578767423127,"SSP1-2.6 (Sustainability)","Statistical"
2034-08-01,2034,8,"tavg",28.487430746956,"SSP1-2.6 (Sustainability)","Statistical"
2034-09-01,2034,9,"tavg",25.8988058805882,"SSP1-2.6 (Sustainability)","Statistical"
2034-10-01,2034,10,"tavg",24.1665602310382,"SSP1-2.6 (Sustainability)","Statistical"
2034-11-01,2034,11,"tavg",22.6727102059383,"SSP1-2.6 (Sustainability)","Statistical"
2034-12-01,2034,12,"tavg",22.7571184321779,"SSP1-2.6 (Sustainability)","Statistical"
2035-01-01,2035,1,"tavg",23.1694811191705,"SSP1-2.6 (Sustainability)","Statistical"
2035-02-01,2035,2,"tavg",24.185762844885,"SSP1-2.6 (Sustainability)","Statistical"
2035-03-01,2035,3,"tavg",26.3939174062654,"SSP1-2.6 (Sustainability)","Statistical"
2035-04-01,2035,4,"tavg",27.6634077675625,"SSP1-2.6 (Sustainability)","Statistical"
2035-05-01,2035,5,"tavg",29.2374884763496,"SSP1-2.6 (Sustainability)","Statistical"
2035-06-01,2035,6,"tavg",28.4774256252992,"SSP1-2.6 (Sustainability)","Statistical"
2035-07-01,2035,7,"tavg",28.2367224537859,"SSP1-2.6 (Sustainability)","Statistical"
2035-08-01,2035,8,"tavg",26.8402284869991,"SSP1-2.6 (Sustainability)","Statistical"
2035-09-01,2035,9,"tavg",26.1624209875995,"SSP1-2.6 (Sustainability)","Statistical"
2035-10-01,2035,10,"tavg",24.6562896804755,"SSP1-2.6 (Sustainability)","Statistical"
2035-11-01,2035,11,"tavg",22.9899399750229,"SSP1-2.6 (Sustainability)","Statistical"
2035-12-01,2035,12,"tavg",22.8345508678368,"SSP1-2.6 (Sustainability)","Statistical"
2036-01-01,2036,1,"tavg",24.1013316369083,"SSP1-2.6 (Sustainability)","Statistical"
2036-02-01,2036,2,"tavg",23.5674943067566,"SSP1-2.6 (Sustainability)","Statistical"
2036-03-01,2036,3,"tavg",25.5085776814223,"SSP1-2.6 (Sustainability)","Statistical"
2036-04-01,2036,4,"tavg",27.0959885354801,"SSP1-2.6 (Sustainability)","Statistical"
2036-05-01,2036,5,"tavg",29.06779838388,"SSP1-2.6 (Sustainability)","Statistical"
2036-06-01,2036,6,"tavg",28.0327460089583,"SSP1-2.6 (Sustainability)","Statistical"
2036-07-01,2036,7,"tavg",28.7335548188695,"SSP1-2.6 (Sustainability)","Statistical"
2036-08-01,2036,8,"tavg",27.8194858206142,"SSP1-2.6 (Sustainability)","Statistical"
2036-09-01,2036,9,"tavg",26.49679978561,"SSP1-2.6 (Sustainability)","Statistical"
2036-10-01,2036,10,"tavg",23.8409940552286,"SSP1-2.6 (Sustainability)","Statistical"
2036-11-01,2036,11,"tavg",23.6129294329519,"SSP1-2.6 (Sustainability)","Statistical"
2036-12-01,2036,12,"tavg",23.4521514332646,"SSP1-2.6 (Sustainability)","Statistical"
2037-01-01,2037,1,"tavg",23.6532849453604,"SSP1-2.6 (Sustainability)","Statistical"
2037-02-01,2037,2,"tavg",24.1685097187671,"SSP1-2.6 (Sustainability)","Statistical"
2037-03-01,2037,3,"tavg",26.8044633768837,"SSP1-2.6 (Sustainability)","Statistical"
2037-04-01,2037,4,"tavg",27.0349133314639,"SSP1-2.6 (Sustainability)","Statistical"
2037-05-01,2037,5,"tavg",28.9768113571846,"SSP1-2.6 (Sustainability)","Statistical"
2037-06-01,2037,6,"tavg",28.9685780001991,"SSP1-2.6 (Sustainability)","Statistical"
2037-07-01,2037,7,"tavg",28.1139662206166,"SSP1-2.6 (Sustainability)","Statistical"
